,epoch/valid_acc,epoch/valid_macrof1,epoch/valid_microf1,epoch/valid_ccc(aro),epoch/valid_ccc(val)
Scratch | peakl,"[0.8521291613578796, 0.8454525470733643, 0.8301613926887512, 0.8637784719467163, 0.8689610958099365]","[0.6902896761894226, 0.6814196109771729, 0.7147088646888733, 0.7369140386581421, 0.7213153839111328]","[0.8521291613578796, 0.8454525470733643, 0.8301613926887512, 0.8637784719467163, 0.8689610958099365]","[0.811572790145874, 0.8093251585960388, 0.8407223224639893, 0.8251186609268188, 0.8370323777198792]","[0.8605399131774902, 0.843643307685852, 0.8772047758102417, 0.8642801642417908, 0.8523246049880981]"
Scratch | soft,"[0.850959300994873, 0.8452355265617371, 0.8306432366371155, 0.8613220453262329, 0.8629756569862366]","[0.6828778386116028, 0.6785674095153809, 0.719660758972168, 0.7314238548278809, 0.7016765475273132]","[0.850959300994873, 0.8452355265617371, 0.8306432366371155, 0.8613220453262329, 0.8629756569862366]","[0.8106043934822083, 0.8077790141105652, 0.8413853645324707, 0.8116292953491211, 0.824945867061615]","[0.8523604869842529, 0.8453467488288879, 0.8752021193504333, 0.8675515651702881, 0.8455740809440613]"
Scratch | one-hot,"[0.8462798595428467, 0.8376383781433105, 0.8195615410804749, 0.857079029083252, 0.8606241941452026]","[0.6776556968688965, 0.6647230386734009, 0.6953535676002502, 0.7234658002853394, 0.7024607062339783]","[0.8462798595428467, 0.8376383781433105, 0.8195615410804749, 0.857079029083252, 0.8606241941452026]","[0.8177547454833984, 0.8092173337936401, 0.8270589113235474, 0.801080584526062, 0.8273823857307434]","[0.8452441096305847, 0.8371601700782776, 0.8619077205657959, 0.8629442453384399, 0.8422653079032898]"
Concat | peakl,"[0.8439400792121887, 0.8415454626083374, 0.8154661655426025, 0.8521661162376404, 0.8567764163017273]","[0.6678216457366943, 0.666199266910553, 0.6778186559677124, 0.7102697491645813, 0.6829550266265869]","[0.8439400792121887, 0.8415454626083374, 0.8154661655426025, 0.8521661162376404, 0.8567764163017273]","[0.6958025693893433, 0.5963547229766846, 0.6809024214744568, 0.6069391965866089, 0.6048915982246399]","[0.7514503002166748, 0.6520981788635254, 0.784213125705719, 0.7331106662750244, 0.7118579745292664]"
